booking_id,listing_id,user_id,booking_date,checkin_date,checkout_date
1040,86,331,2023-05-21,2023-05-25,2023-05-26
1041,70,381,2023-06-01,2023-06-08,2023-06-11
1042,91,238,2023-03-28,2023-03-31,2023-04-03
1043,45,419,2023-05-17,2023-05-21,2023-05-23
1044,92,200,2023-02-27,2023-03-02,2023-03-03
1045,77,390,2023-04-01,2023-04-02,2023-04-08
1046,25,316,2023-02-19,2023-02-25,2023-02-26
1047,58,359,2023-02-08,2023-02-13,2023-02-18
1048,80,402,2023-04-23,2023-04-28,2023-05-03
1049,36,246,2023-05-18,2023-05-27,2023-05-31
1050,49,253,2023-01-08,2023-01-14,2023-01-15
1051,3,211,2023-05-16,2023-05-24,2023-05-25
1052,76,207,2023-05-28,2023-06-01,2023-06-05
1053,90,377,2023-05-11,2023-05-16,2023-05-18
1054,41,344,2023-05-26,2023-06-04,2023-06-10
1055,33,245,2023-06-03,2023-06-06,2023-06-11
1056,6,455,2023-03-18,2023-03-23,2023-03-26
1057,47,209,2023-05-25,2023-06-02,2023-06-04
1058,30,318,2023-04-11,2023-04-19,2023-04-24
1059,33,345,2023-04-27,2023-04-28,2023-04-29
1060,11,262,2023-03-17,2023-03-26,2023-03-28
1061,86,376,2023-02-27,2023-02-28,2023-03-03
1062,98,205,2023-04-14,2023-04-15,2023-04-18
1063,69,458,2023-03-31,2023-04-05,2023-04-10
1064,23,401,2023-02-19,2023-02-22,2023-02-27
1065,17,200,2023-03-23,2023-03-26,2023-04-01
1066,45,487,2023-01-02,2023-01-04,2023-01-10
1067,92,449,2023-04-03,2023-04-05,2023-04-07
1068,54,467,2023-04-27,2023-04-28,2023-05-01
1069,54,421,2023-05-04,2023-05-13,2023-05-19
1070,17,265,2023-04-19,2023-04-22,2023-04-27
1071,38,297,2023-02-05,2023-02-07,2023-02-09
1072,30,448,2023-03-14,2023-03-20,2023-03-23
1073,97,229,2023-03-13,2023-03-20,2023-03-24
1074,51,484,2023-03-18,2023-03-22,2023-03-27
1075,10,472,2023-05-21,2023-05-25,2023-05-27
1076,88,461,2023-03-05,2023-03-10,2023-03-12
1077,66,242,2023-05-03,2023-05-06,2023-05-09
1078,23,207,2023-03-17,2023-03-21,2023-03-24
1079,4,394,2023-01-23,2023-01-25,2023-01-28
1080,61,476,2023-04-27,2023-05-02,2023-05-05
1081,82,221,2023-03-28,2023-04-02,2023-04-04
1082,70,432,2022-12-30,2023-01-01,2023-01-06
1083,49,272,2023-03-10,2023-03-19,2023-03-21
1084,47,438,2023-04-23,2023-05-01,2023-05-07
1085,94,225,2023-04-13,2023-04-17,2023-04-22
1086,1,452,2023-01-04,2023-01-08,2023-01-09
1087,79,213,2023-02-09,2023-02-16,2023-02-22
1088,78,353,2023-05-02,2023-05-10,2023-05-15
1089,7,438,2023-01-01,2023-01-03,2023-01-09
1090,38,318,2023-04-20,2023-04-25,2023-04-26
1091,28,472,2023-02-01,2023-02-08,2023-02-09
1092,86,224,2023-05-05,2023-05-06,2023-05-10
1093,13,266,2023-01-16,2023-01-25,2023-01-29
1094,18,310,2023-04-15,2023-04-21,2023-04-25
1095,34,435,2023-04-18,2023-04-21,2023-04-22
1096,42,205,2023-06-14,2023-06-18,2023-06-23
1097,26,428,2023-02-24,2023-03-05,2023-03-07
1098,33,397,2023-05-24,2023-05-30,2023-06-04
1099,4,294,2023-03-27,2023-04-04,2023-04-07
1100,55,442,2023-05-09,2023-05-17,2023-05-20
1101,36,419,2023-05-28,2023-06-01,2023-06-07
1102,79,293,2023-05-06,2023-05-14,2023-05-20
1103,51,393,2023-02-23,2023-03-03,2023-03-04
1104,26,499,2023-06-23,2023-06-28,2023-07-03
1105,70,474,2023-05-30,2023-06-03,2023-06-09
1106,97,339,2023-01-19,2023-01-20,2023-01-21
1107,90,492,2023-05-18,2023-05-22,2023-05-28
1108,77,377,2022-12-26,2023-01-03,2023-01-04
1109,10,371,2023-01-03,2023-01-05,2023-01-07
1110,13,283,2023-06-16,2023-06-17,2023-06-19
1111,63,472,2023-04-02,2023-04-11,2023-04-12
1112,75,293,2023-05-22,2023-05-23,2023-05-29
1113,69,435,2023-03-01,2023-03-03,2023-03-07
1114,78,336,2023-04-25,2023-04-27,2023-04-30
1115,76,495,2023-01-29,2023-02-04,2023-02-05
1116,60,466,2023-02-24,2023-03-05,2023-03-10
1117,14,490,2023-02-24,2023-03-01,2023-03-07
1118,37,277,2023-01-01,2023-01-05,2023-01-08
1119,89,495,2023-02-03,2023-02-11,2023-02-12
1120,39,487,2023-04-11,2023-04-14,2023-04-20
1121,38,352,2023-04-06,2023-04-07,2023-04-08
1122,97,238,2023-02-19,2023-02-22,2023-02-25
1123,70,378,2023-05-06,2023-05-14,2023-05-17
1124,42,488,2023-01-11,2023-01-15,2023-01-20
1125,94,356,2023-05-29,2023-06-04,2023-06-08
1126,57,488,2023-04-03,2023-04-07,2023-04-12
1127,86,204,2023-03-06,2023-03-07,2023-03-09
1128,38,415,2023-05-17,2023-05-21,2023-05-25
1129,56,335,2023-01-10,2023-01-15,2023-01-20
1130,29,372,2023-02-14,2023-02-16,2023-02-20
1131,27,442,2023-04-01,2023-04-05,2023-04-08
1132,36,482,2023-01-21,2023-01-26,2023-01-29
1133,20,237,2023-01-05,2023-01-11,2023-01-17
1134,72,417,2023-01-15,2023-01-23,2023-01-25
1135,62,370,2023-04-17,2023-04-21,2023-04-25
1136,68,326,2023-05-12,2023-05-13,2023-05-18
1137,92,250,2023-01-23,2023-01-31,2023-02-02
1138,41,300,2023-01-06,2023-01-11,2023-01-12
1139,90,381,2023-04-13,2023-04-20,2023-04-24
1140,57,254,2022-12-29,2023-01-01,2023-01-07
1141,40,336,2023-05-19,2023-05-23,2023-05-28
1142,57,490,2023-04-23,2023-04-27,2023-04-29
1143,25,493,2023-03-29,2023-03-31,2023-04-03
1144,7,216,2023-06-08,2023-06-11,2023-06-14
1145,54,379,2023-05-26,2023-06-01,2023-06-02
1146,88,484,2023-06-04,2023-06-10,2023-06-11
1147,26,248,2023-05-29,2023-06-05,2023-06-07
1148,81,376,2023-03-21,2023-03-25,2023-03-26
1149,86,248,2023-02-25,2023-03-04,2023-03-09
1150,1,414,2023-05-18,2023-05-21,2023-05-27
1151,56,484,2023-03-02,2023-03-03,2023-03-09
1152,45,217,2023-01-29,2023-01-30,2023-02-02
1153,78,393,2023-04-19,2023-04-25,2023-04-27
1154,92,421,2023-04-17,2023-04-23,2023-04-25
1155,51,463,2023-02-25,2023-03-04,2023-03-08
1156,3,361,2023-01-31,2023-02-01,2023-02-03
1157,87,487,2023-02-22,2023-02-24,2023-02-28
1158,7,446,2023-03-31,2023-04-03,2023-04-04
1159,88,448,2023-03-08,2023-03-13,2023-03-19
1160,67,291,2023-02-12,2023-02-20,2023-02-21
1161,34,487,2023-01-27,2023-02-04,2023-02-10
1162,46,364,2023-05-18,2023-05-24,2023-05-28
1163,85,206,2023-05-15,2023-05-22,2023-05-24
1164,33,346,2023-05-28,2023-05-31,2023-06-05
1165,36,281,2023-01-27,2023-01-29,2023-02-02
1166,1,210,2023-02-14,2023-02-16,2023-02-21
1167,67,219,2023-04-24,2023-04-29,2023-05-03
1168,37,425,2023-06-10,2023-06-15,2023-06-21
1169,44,479,2023-04-08,2023-04-09,2023-04-13
1170,74,414,2023-06-06,2023-06-07,2023-06-10
1171,81,239,2023-01-12,2023-01-14,2023-01-15
1172,25,445,2023-04-07,2023-04-13,2023-04-14
1173,4,228,2023-06-01,2023-06-03,2023-06-05
1174,87,345,2023-02-01,2023-02-06,2023-02-09
1175,42,233,2023-04-09,2023-04-10,2023-04-11
1176,37,275,2023-05-26,2023-06-02,2023-06-08
1177,86,486,2023-01-21,2023-01-27,2023-01-28
1178,91,467,2023-06-08,2023-06-17,2023-06-19
1179,53,389,2023-05-16,2023-05-18,2023-05-23
1180,54,380,2023-04-13,2023-04-17,2023-04-18
1181,26,466,2023-01-21,2023-01-29,2023-02-03
1182,11,386,2023-06-06,2023-06-13,2023-06-14
1183,99,254,2023-02-15,2023-02-23,2023-02-25
1184,22,449,2023-03-06,2023-03-10,2023-03-11
1185,20,400,2023-03-20,2023-03-22,2023-03-28
1186,73,328,2023-01-31,2023-02-09,2023-02-10
1187,61,224,2023-06-13,2023-06-20,2023-06-22
1188,35,428,2023-05-08,2023-05-11,2023-05-13
1189,94,211,2023-04-09,2023-04-12,2023-04-14
1190,44,216,2023-02-09,2023-02-18,2023-02-23
1191,55,279,2023-02-08,2023-02-16,2023-02-20
1192,83,280,2023-01-01,2023-01-08,2023-01-13
1193,80,288,2023-01-16,2023-01-25,2023-01-27
1194,26,215,2023-02-09,2023-02-16,2023-02-18
1195,17,285,2023-05-24,2023-05-31,2023-06-02
1196,14,206,2023-03-11,2023-03-20,2023-03-25
1197,48,414,2023-03-11,2023-03-13,2023-03-15
1198,95,302,2023-04-25,2023-04-26,2023-04-29
1199,14,307,2023-06-06,2023-06-08,2023-06-11
1200,3,382,2023-01-30,2023-02-06,2023-02-09
1201,39,203,2023-01-09,2023-01-15,2023-01-16
1202,25,360,2023-05-19,2023-05-21,2023-05-23
1203,55,450,2023-06-12,2023-06-19,2023-06-21
1204,13,295,2023-05-18,2023-05-21,2023-05-23
1205,39,228,2023-02-14,2023-02-15,2023-02-19
1206,93,435,2023-02-22,2023-03-03,2023-03-08
1207,16,264,2023-04-30,2023-05-01,2023-05-03
1208,3,357,2023-06-20,2023-06-22,2023-06-28
1209,68,492,2023-05-17,2023-05-26,2023-06-01
1210,48,339,2023-03-09,2023-03-14,2023-03-15
1211,61,397,2023-06-13,2023-06-20,2023-06-24
1212,56,210,2023-03-02,2023-03-04,2023-03-10
1213,25,258,2023-02-13,2023-02-21,2023-02-25
1214,20,442,2023-04-01,2023-04-03,2023-04-09
1215,57,458,2023-06-10,2023-06-18,2023-06-19
1216,6,253,2022-12-29,2023-01-05,2023-01-10
1217,49,219,2023-01-08,2023-01-09,2023-01-12
1218,61,377,2023-05-01,2023-05-03,2023-05-05
1219,62,359,2023-05-22,2023-05-25,2023-05-28
1220,13,288,2023-04-21,2023-04-30,2023-05-05
1221,68,297,2023-05-13,2023-05-22,2023-05-27
1222,56,228,2023-02-27,2023-03-08,2023-03-11
1223,67,369,2023-05-24,2023-06-02,2023-06-04
1224,79,460,2023-02-07,2023-02-09,2023-02-10
1225,88,450,2023-04-29,2023-05-04,2023-05-10
1226,48,236,2023-03-26,2023-03-31,2023-04-02
1227,77,239,2023-03-19,2023-03-22,2023-03-24
1228,58,239,2023-03-07,2023-03-08,2023-03-10
1229,6,258,2023-05-18,2023-05-27,2023-05-31
1230,13,380,2023-04-13,2023-04-17,2023-04-22
1231,63,387,2023-05-28,2023-06-04,2023-06-10
1232,5,448,2023-02-11,2023-02-14,2023-02-16
1233,31,359,2023-01-18,2023-01-23,2023-01-25
1234,30,457,2023-02-01,2023-02-08,2023-02-10
1235,66,354,2023-01-12,2023-01-13,2023-01-19
1236,17,387,2023-04-06,2023-04-14,2023-04-16
1237,35,273,2023-03-02,2023-03-11,2023-03-14
1238,96,259,2023-02-27,2023-03-04,2023-03-08
1239,93,441,2023-01-18,2023-01-22,2023-01-26
1240,91,392,2023-01-11,2023-01-17,2023-01-21
1241,90,409,2023-04-28,2023-04-30,2023-05-03
1242,14,403,2023-06-20,2023-06-24,2023-06-29
1243,99,206,2023-06-28,2023-06-29,2023-07-04
1244,6,257,2023-04-14,2023-04-21,2023-04-24
1245,26,484,2023-06-19,2023-06-23,2023-06-25
1246,81,238,2023-04-02,2023-04-09,2023-04-14
1247,29,487,2023-06-04,2023-06-06,2023-06-09
1248,47,226,2023-03-22,2023-03-25,2023-03-31
1249,81,291,2023-05-01,2023-05-06,2023-05-10
1250,47,283,2023-04-05,2023-04-11,2023-04-14
1251,19,456,2023-05-05,2023-05-11,2023-05-14
1252,15,362,2023-06-10,2023-06-11,2023-06-16
1253,25,473,2023-01-16,2023-01-24,2023-01-28
1254,60,344,2023-06-18,2023-06-23,2023-06-24
1255,8,373,2023-03-18,2023-03-20,2023-03-23
1256,71,380,2023-05-03,2023-05-11,2023-05-16
1257,60,245,2023-04-23,2023-05-02,2023-05-05
1258,94,435,2023-01-13,2023-01-17,2023-01-23
1259,100,413,2023-01-03,2023-01-09,2023-01-15
1260,2,263,2023-03-28,2023-03-29,2023-04-01
1261,72,294,2023-01-15,2023-01-21,2023-01-23
1262,32,416,2023-01-10,2023-01-11,2023-01-16
1263,41,413,2023-05-13,2023-05-16,2023-05-19
1264,88,275,2023-02-01,2023-02-10,2023-02-11
1265,46,285,2023-06-05,2023-06-09,2023-06-15
1266,33,201,2023-06-16,2023-06-17,2023-06-19
1267,33,276,2023-06-03,2023-06-07,2023-06-08
1268,26,365,2023-05-23,2023-05-30,2023-06-01
1269,90,342,2023-06-21,2023-06-23,2023-06-25
1270,44,322,2023-02-12,2023-02-18,2023-02-21
1271,9,422,2022-12-28,2023-01-06,2023-01-07
1272,76,283,2023-01-01,2023-01-08,2023-01-10
1273,75,221,2023-03-22,2023-03-25,2023-03-29
1274,41,211,2023-04-09,2023-04-16,2023-04-22
1275,12,442,2023-05-18,2023-05-21,2023-05-22
1276,55,420,2023-04-03,2023-04-10,2023-04-15
1277,53,499,2023-01-30,2023-02-01,2023-02-04
1278,70,349,2023-05-21,2023-05-26,2023-05-29
1279,96,258,2023-02-22,2023-02-25,2023-02-26
1280,28,292,2023-01-29,2023-02-04,2023-02-09
1281,63,412,2023-03-30,2023-04-07,2023-04-11
1282,20,419,2023-02-02,2023-02-06,2023-02-10
1283,60,376,2023-05-29,2023-06-01,2023-06-03
1284,96,449,2023-04-10,2023-04-15,2023-04-19
1285,98,461,2023-02-28,2023-03-07,2023-03-09
1286,42,445,2023-04-22,2023-04-25,2023-04-27
1287,18,424,2023-02-06,2023-02-09,2023-02-14
1288,26,439,2023-01-01,2023-01-08,2023-01-12
1289,42,201,2023-06-14,2023-06-21,2023-06-27
1290,37,240,2023-03-04,2023-03-10,2023-03-16
1291,60,430,2023-04-26,2023-05-05,2023-05-11
1292,84,344,2023-05-01,2023-05-10,2023-05-16
1293,28,428,2023-03-02,2023-03-07,2023-03-10
1294,65,363,2023-06-10,2023-06-17,2023-06-21
1295,47,209,2023-01-28,2023-01-31,2023-02-03
1296,14,292,2023-03-12,2023-03-21,2023-03-23
1297,1,463,2023-05-12,2023-05-13,2023-05-17
1298,57,483,2023-02-24,2023-03-05,2023-03-11
1299,37,403,2023-06-19,2023-06-24,2023-06-29
1300,49,355,2023-04-24,2023-04-30,2023-05-04
1301,61,329,2023-05-19,2023-05-28,2023-05-30
1302,37,484,2023-01-19,2023-01-20,2023-01-22
1303,35,360,2023-02-27,2023-02-28,2023-03-05
1304,51,475,2023-01-07,2023-01-12,2023-01-14
1305,88,416,2023-02-10,2023-02-12,2023-02-18
1306,29,377,2023-02-01,2023-02-08,2023-02-11
1307,44,350,2023-02-03,2023-02-07,2023-02-11
1308,80,207,2023-06-25,2023-06-27,2023-06-29
1309,85,204,2023-05-03,2023-05-09,2023-05-14
1310,47,318,2023-02-01,2023-02-03,2023-02-04
1311,82,335,2023-05-17,2023-05-25,2023-05-27
1312,76,488,2023-03-12,2023-03-13,2023-03-14
1313,19,252,2023-01-26,2023-01-31,2023-02-06
1314,90,360,2023-02-23,2023-03-04,2023-03-05
1315,89,272,2023-06-20,2023-06-25,2023-06-30
1316,77,297,2023-06-02,2023-06-08,2023-06-09
1317,4,281,2023-04-03,2023-04-12,2023-04-15
1318,23,328,2023-03-16,2023-03-24,2023-03-29
1319,54,342,2023-03-29,2023-03-30,2023-04-04
1320,76,292,2023-05-14,2023-05-23,2023-05-28
1321,33,490,2023-02-12,2023-02-18,2023-02-19
1322,90,309,2023-01-09,2023-01-11,2023-01-14
1323,46,284,2023-01-01,2023-01-09,2023-01-12
1324,48,420,2023-05-27,2023-06-05,2023-06-10
1325,12,492,2023-05-09,2023-05-13,2023-05-15
1326,15,220,2023-02-05,2023-02-12,2023-02-18
1327,80,323,2023-02-07,2023-02-16,2023-02-21
1328,36,476,2023-02-14,2023-02-20,2023-02-24
1329,19,251,2023-01-31,2023-02-03,2023-02-09
1330,8,357,2023-05-22,2023-05-24,2023-05-26
1331,2,331,2023-06-17,2023-06-26,2023-07-01
1332,94,273,2022-12-31,2023-01-07,2023-01-11
1333,13,497,2023-05-31,2023-06-08,2023-06-09
1334,36,462,2023-03-19,2023-03-25,2023-03-29
1335,1,246,2023-06-14,2023-06-21,2023-06-26
1336,22,413,2023-04-19,2023-04-28,2023-05-03
1337,26,320,2023-01-01,2023-01-09,2023-01-11
1338,24,492,2023-02-14,2023-02-18,2023-02-20
1339,50,299,2023-05-25,2023-06-01,2023-06-04
1340,74,363,2023-03-29,2023-03-30,2023-04-01
1341,55,307,2023-03-08,2023-03-10,2023-03-11
1342,33,349,2023-04-24,2023-04-29,2023-05-04
1343,15,359,2023-06-03,2023-06-12,2023-06-16
1344,78,453,2023-03-09,2023-03-18,2023-03-23
1345,2,462,2023-02-28,2023-03-05,2023-03-08
1346,18,324,2023-03-01,2023-03-08,2023-03-10
1347,41,218,2023-01-20,2023-01-24,2023-01-28
1348,90,487,2023-04-05,2023-04-12,2023-04-14
1349,36,272,2023-03-30,2023-04-07,2023-04-11
1350,97,395,2023-05-02,2023-05-03,2023-05-09
1351,60,204,2023-05-05,2023-05-10,2023-05-14
1352,8,499,2023-02-16,2023-02-19,2023-02-22
1353,86,414,2023-03-09,2023-03-11,2023-03-13
1354,81,485,2023-01-31,2023-02-04,2023-02-06
1355,8,235,2023-05-25,2023-05-30,2023-06-03
1356,77,407,2023-01-22,2023-01-31,2023-02-01
1357,55,344,2023-05-16,2023-05-24,2023-05-28
1358,84,436,2022-12-27,2023-01-03,2023-01-09
1359,92,204,2023-04-21,2023-04-25,2023-05-01
1360,65,348,2023-04-27,2023-05-01,2023-05-07
1361,70,430,2023-05-29,2023-05-30,2023-06-01
1362,16,425,2023-02-03,2023-02-07,2023-02-11
1363,97,436,2023-05-29,2023-05-31,2023-06-02
1364,85,448,2022-12-24,2023-01-02,2023-01-05
1365,65,379,2023-03-09,2023-03-16,2023-03-19
1366,26,342,2023-02-18,2023-02-24,2023-03-02
1367,60,211,2023-04-10,2023-04-11,2023-04-15
1368,42,490,2023-06-07,2023-06-15,2023-06-17
1369,30,206,2023-05-10,2023-05-14,2023-05-17
1370,14,362,2023-03-12,2023-03-14,2023-03-19
1371,91,405,2023-05-06,2023-05-10,2023-05-13
1372,82,480,2023-01-04,2023-01-10,2023-01-11
1373,33,309,2023-06-07,2023-06-13,2023-06-19
1374,52,224,2023-05-06,2023-05-11,2023-05-14
1375,98,224,2023-05-12,2023-05-16,2023-05-21
1376,45,340,2023-01-08,2023-01-12,2023-01-16
1377,18,359,2023-02-27,2023-03-01,2023-03-07
1378,60,486,2023-05-28,2023-05-31,2023-06-03
1379,5,329,2023-06-09,2023-06-11,2023-06-13
1380,31,282,2023-02-16,2023-02-25,2023-02-26
1381,99,355,2023-05-26,2023-05-29,2023-05-30
1382,7,296,2023-03-17,2023-03-21,2023-03-25
1383,4,300,2023-04-06,2023-04-13,2023-04-14
1384,52,323,2023-02-15,2023-02-21,2023-02-25
1385,50,315,2023-03-01,2023-03-04,2023-03-09
1386,7,213,2023-05-28,2023-06-04,2023-06-08
1387,86,382,2023-05-11,2023-05-13,2023-05-19
1388,62,429,2023-05-24,2023-05-29,2023-06-04
1389,10,264,2023-02-22,2023-02-27,2023-03-04
1390,90,372,2023-03-19,2023-03-23,2023-03-28
1391,81,455,2023-05-12,2023-05-19,2023-05-24
1392,26,311,2023-02-01,2023-02-03,2023-02-07
1393,99,241,2023-06-24,2023-06-29,2023-07-04
1394,42,304,2023-05-20,2023-05-21,2023-05-22
1395,9,329,2023-06-17,2023-06-18,2023-06-19
1396,10,431,2023-02-22,2023-02-27,2023-03-03
1397,28,413,2023-01-26,2023-02-03,2023-02-06
1398,49,372,2023-03-17,2023-03-20,2023-03-21
1399,69,286,2023-06-04,2023-06-09,2023-06-13
1400,8,286,2023-03-17,2023-03-18,2023-03-19
1401,51,351,2023-05-31,2023-06-01,2023-06-04
1402,5,431,2023-05-24,2023-05-28,2023-06-02
1403,11,227,2023-06-26,2023-06-29,2023-07-02
1404,58,207,2022-12-30,2023-01-05,2023-01-10
1405,96,422,2023-04-14,2023-04-22,2023-04-26
1406,25,248,2023-03-10,2023-03-14,2023-03-16
1407,68,368,2023-03-10,2023-03-19,2023-03-20
1408,62,348,2023-04-20,2023-04-24,2023-04-26
1409,12,468,2023-03-27,2023-04-01,2023-04-03
1410,32,425,2023-04-04,2023-04-05,2023-04-09
1411,40,352,2023-05-18,2023-05-26,2023-05-27
1412,59,313,2023-03-13,2023-03-19,2023-03-23
1413,30,373,2023-06-20,2023-06-21,2023-06-24
1414,21,318,2023-04-25,2023-05-02,2023-05-08
1415,12,348,2023-06-19,2023-06-24,2023-06-26
1416,8,334,2023-02-08,2023-02-15,2023-02-21
1417,96,434,2023-03-18,2023-03-27,2023-04-02
1418,22,468,2023-03-31,2023-04-02,2023-04-07
1419,2,482,2023-01-27,2023-01-29,2023-02-03
1420,95,477,2023-05-26,2023-05-31,2023-06-04
1421,61,390,2023-04-01,2023-04-07,2023-04-10
1422,19,229,2023-01-16,2023-01-23,2023-01-28
1423,25,310,2023-04-30,2023-05-08,2023-05-13
1424,58,460,2023-05-21,2023-05-24,2023-05-25
1425,65,423,2023-05-10,2023-05-12,2023-05-15
1426,89,430,2023-01-08,2023-01-10,2023-01-15
1427,41,285,2023-04-16,2023-04-22,2023-04-27
1428,12,219,2023-01-11,2023-01-14,2023-01-15
1429,95,300,2023-03-07,2023-03-11,2023-03-14
1430,4,223,2023-01-14,2023-01-20,2023-01-22
1431,99,429,2023-05-29,2023-06-03,2023-06-08
1432,54,401,2023-04-07,2023-04-13,2023-04-18
1433,46,256,2022-12-31,2023-01-04,2023-01-08
1434,17,420,2023-04-26,2023-04-29,2023-05-03
1435,88,254,2023-03-17,2023-03-21,2023-03-23
1436,4,223,2023-04-28,2023-04-30,2023-05-06
1437,30,358,2023-03-20,2023-03-23,2023-03-26
1438,49,410,2023-02-26,2023-03-04,2023-03-10
1439,24,229,2023-04-13,2023-04-19,2023-04-23
1440,31,372,2023-04-06,2023-04-10,2023-04-13
1441,94,345,2023-04-19,2023-04-23,2023-04-24
1442,92,317,2023-02-15,2023-02-16,2023-02-19
1443,17,439,2022-12-29,2023-01-04,2023-01-08
1444,47,274,2023-03-12,2023-03-19,2023-03-23
1445,9,260,2023-03-29,2023-03-31,2023-04-05
1446,3,453,2023-04-11,2023-04-17,2023-04-18
1447,70,250,2023-03-17,2023-03-22,2023-03-25
1448,19,268,2023-06-14,2023-06-19,2023-06-22
1449,84,273,2023-02-13,2023-02-18,2023-02-23
1450,100,459,2023-03-04,2023-03-11,2023-03-13
1451,39,479,2023-06-03,2023-06-12,2023-06-13
1452,100,381,2023-03-02,2023-03-11,2023-03-12
1453,31,235,2023-03-20,2023-03-25,2023-03-26
1454,30,305,2023-05-26,2023-06-01,2023-06-05
1455,92,419,2023-05-07,2023-05-15,2023-05-18
1456,10,305,2023-03-12,2023-03-21,2023-03-27
1457,77,427,2023-03-03,2023-03-11,2023-03-15
1458,84,220,2023-03-19,2023-03-23,2023-03-25
1459,50,206,2023-06-04,2023-06-10,2023-06-13
1460,15,347,2023-06-01,2023-06-09,2023-06-12
1461,15,353,2023-06-17,2023-06-25,2023-06-30
1462,14,220,2023-02-24,2023-02-26,2023-03-03
1463,69,360,2023-05-09,2023-05-11,2023-05-13
1464,68,285,2023-04-30,2023-05-07,2023-05-09
1465,33,260,2023-03-20,2023-03-22,2023-03-27
1466,28,285,2023-02-11,2023-02-12,2023-02-13
1467,17,397,2023-04-06,2023-04-08,2023-04-14
1468,65,204,2023-03-13,2023-03-15,2023-03-20
1469,22,265,2023-04-20,2023-04-22,2023-04-23
1470,16,324,2023-04-15,2023-04-22,2023-04-25
1471,86,258,2023-03-14,2023-03-17,2023-03-23
1472,64,231,2023-02-25,2023-03-04,2023-03-05
1473,21,267,2023-01-16,2023-01-20,2023-01-22
1474,86,278,2023-05-17,2023-05-23,2023-05-28
1475,92,367,2023-01-13,2023-01-14,2023-01-17
1476,63,447,2023-03-04,2023-03-07,2023-03-08
1477,72,241,2023-02-09,2023-02-13,2023-02-14
1478,99,478,2022-12-28,2023-01-06,2023-01-10
1479,50,396,2023-06-17,2023-06-20,2023-06-23
1480,11,207,2023-01-04,2023-01-12,2023-01-14
1481,92,284,2023-02-02,2023-02-10,2023-02-14
1482,55,303,2023-05-15,2023-05-17,2023-05-23
1483,42,467,2023-02-27,2023-03-01,2023-03-05
1484,7,458,2023-03-19,2023-03-21,2023-03-24
1485,40,328,2023-06-03,2023-06-10,2023-06-14
1486,8,375,2023-04-06,2023-04-11,2023-04-15
1487,4,474,2023-04-11,2023-04-20,2023-04-26
1488,12,215,2023-05-18,2023-05-19,2023-05-25
1489,63,220,2023-04-17,2023-04-19,2023-04-24
1490,4,422,2023-05-29,2023-06-05,2023-06-11
1491,27,330,2023-03-09,2023-03-10,2023-03-11
1492,68,353,2023-01-20,2023-01-25,2023-01-29
1493,99,333,2023-01-06,2023-01-09,2023-01-13
1494,60,412,2023-06-13,2023-06-21,2023-06-22
1495,98,485,2023-05-06,2023-05-11,2023-05-15
1496,28,362,2023-06-06,2023-06-10,2023-06-15
